Go.	行け。
Go.	行きなさい。
Hi.	やっほー。
Hi.	こんにちは！
Run.	走れ。
Run.	走って！
Who?	誰？
Wow!	すごい！
Wow!	ワォ！
Wow!	わぉ！
Fire!	火事だ！
Fire!	火事！
Help!	助けて！
Jump!	飛び越えろ！
Jump!	跳べ！
Jump!	飛び降りろ！
Jump!	飛び跳ねて！
Jump!	ジャンプして！
Jump.	跳べ！
Jump.	飛び跳ねて！
Jump.	ジャンプして！
Stop!	やめろ！
Stop!	止まれ！
Wait!	待って！
Go on.	続けて。
Go on.	進んで。
Go on.	進め。
Go on.	続けろ。
Hello!	こんにちは。
Hello!	もしもし。
Hello!	こんにちは！
Hurry!	急げ！
I see.	なるほど。
I see.	なるほどね。
I see.	わかった。
I see.	わかりました。
I see.	そうですか。
I see.	そうなんだ。
I see.	そっか。
I try.	頑張ってみる。
I try.	やってみる。
I try.	試してみる。
I try.	やってみよう！
I try.	トライしてみる。
I won!	俺の勝ちー！
I won!	勝ったぁ！
I won!	勝ったぞ！
I won!	私の勝ち！
I won!	私が勝ち！
Oh no!	なんてこった！
Oh no!	なんてことだ！
Oh no!	しまった！
Oh no!	あー、しまった！
Oh no!	うわ、しまった！
Oh no!	何てことだ！
Relax.	くつろいで。
Relax.	リラックスして。
Relax.	楽にしてください。
Shoot!	撃て！
Smile.	はい、チーズ。
Smile.	にっこり笑って。
Cheers!	乾杯！
Freeze!	動くな！
Get up.	起きなさい！
Get up.	起きなさい。
Get up.	起きろ！
Go now.	さあ、行っといで。
Got it!	捕まえた。
Got it!	分かった！
He ran.	彼は走った。
He ran.	彼が走った。
Hop in.	乗れよ。
Hop in.	さあ乗って。
Hug me.	抱きしめて。
Hug me.	ぎゅーして。
I know.	分かってる。
I know.	分かってます。
I left.	出発した
I lost.	負けた・・・。
I quit.	私、辞めます。
I quit.	やめた。
I'm 19.	１９歳です。
I'm OK.	大丈夫ですよ。
I'm OK.	私は大丈夫です。
I'm up.	起きてるよ。
Listen.	聞きなさい。
Listen.	聞いて！
No way!	馬鹿な！
No way!	とんでもない！
No way!	とんでもございません！
No way!	とんでもありません！
Really?	本当？
Really?	本当に？
Thanks.	ありがとうございます！
Thanks.	ありがとう。
We try.	私たちは努力しております。
We won.	俺らの勝ちー！
We won.	勝ったぞ！
Why me?	何でわたしなの？
Why me?	どうして私なの？
Ask Tom.	トムに聞きなさい。
Ask Tom.	トムに聞いて。
Ask Tom.	トムに聞いてごらん。
Awesome!	すごいぞ！
Be calm.	落ち着いて。
Be cool.	落ち着いて。
Be cool.	冷静に。
Be fair.	フェアに行こうぜ。
Be kind.	譲り合いましょう。
Be nice.	お行儀よくしなさい。
Be nice.	優しくしてあげなさい。
Beat it.	どっか行け。
Call me.	連絡をちょうだい。
Call me.	電話してね。
Call us.	お電話ください。
Come in.	入っておいでよ。
Come in.	お入りください。
Come in.	入ってきなさい！
Come in.	入って。
Come in.	入れ！
Come on.	おいで。
Come on.	おいおい。
Get Tom.	トムを連れてきて。
Get out!	出て行け！
Get out!	出ていけ。
Get out!	出ろ！
Get out.	出て行け！
Get out.	出ていけ。
Get out.	外に出ろ。
Get out.	消え失せろ。
Get out.	出ろ！
Go away!	向こうへ行け！
Go away!	あっちへ行け！
Go away!	離れろ。
Go away.	向こうへ行け！
Go away.	どっか行け。
Go away.	あっちへ行け！
Go away.	消え失せろ。
Go home.	帰りなさい。
Go slow.	ゆっくり、ゆっくり。
Go slow.	慌てない、慌てない。
Goodbye!	さようなら！
Goodbye!	さようなら。
Hang on!	頑張れ！
Hang on.	切らないで。
He came.	彼は来ました。
He quit.	やめた。
He runs.	彼は走る。
Help me!	助けてくれ。
Help me!	助けて！
Help me.	助けてくれ。
Help me.	助けて！
Help me.	手伝ってよ。
Help me.	助けてください。
Help me.	手伝って。
Help us.	手伝って。
Hi, Tom.	ハーイ、トム。
Hi, Tom.	やぁ、トム。
Hit Tom.	トムを殴れ。
Hold it!	動かないで！
Hold it!	待って！
Hold it!	じっとして！
Hold on.	お待ちください。
Hug Tom.	トムを抱きしめて。
Hug Tom.	トムにハグして。
Hug Tom.	トムをハグして。
I agree.	賛成です。
I agree.	同感です。
I agree.	そう思います。
I agree.	まったくです。
I tried.	やってはみた。
I tried.	やってみた。
I'll go.	行くよ。
I'll go.	私が行きます。
I'm Tom.	トムと申します。
I'm Tom.	トムといいます。
I'm Tom.	私はトムです。
I'm fat.	私は太っている。
I'm fat.	俺はデブだ。
I'm old.	私ももう年だ。
I'm sad.	悲しいです。
I'm shy.	私は引っ込み思案です。
It's OK.	大丈夫ですよ。
It's me!	僕だよ！
It's me!	私よ！
It's me.	私ですが。
It's me.	僕だよ！
Join us.	仲間になって。
Keep it.	取っておいて。
Me, too.	僕もだよ。
Me, too.	私もそうです。
Me, too.	私も。
Open up.	開けてくれ。
Open up.	開けろ。
Perfect!	バッチリ！
See you!	また会おう！
See you.	じゃ、またねっ！
See you.	じゃあ、またね。
See you.	また会おう！
Show me.	見せて。
Show me.	ちょっと見せて。
Shut up!	黙ってて。
Skip it.	やめておけ。
So long.	さようなら。
Stop it.	やめなさい。
Stop it.	やめろ！
Stop it.	いいかげんにして。
Stop it.	やめろよ。
Take it.	これ取っておいて。
Tell me.	教えて。
Tom ate.	トムは食べた。
Tom ran.	トムは走った。
Tom won.	トムは勝った。
Tom won.	トムの勝ち。
Wait up.	待って！
Wake up!	目を覚ませよ！
Wake up!	起きなさい！
Wake up!	起きて！
Wake up.	目を覚ませよ！
Wake up.	起きなさい！
Wake up.	起きて！
Wake up.	起きなさい。
Wash up.	手を洗いなさい。
Wash up.	顔を洗いなさい。
We know.	私たちは知ってる。
We know.	僕たちは知ってる。
We know.	俺たちは知ってる。
We lost.	負けた・・・。
Welcome.	こんにちは。
Welcome.	いらっしゃい。
Welcome.	ようこそ。
Who ran?	誰が走ったの？
Who won?	誰が勝ったの？
Why not?	どうしてダメなの？
Why not?	ぜひそうしよう。
You run.	君が走れ。
You won.	あんたの勝ちだ。
You won.	おまえの勝ちだ。
Am I fat?	俺、太ってるかな？
Back off!	下がっていろ！
Back off!	引っ込んでて！
Be a man.	男になれよ。
Be quiet.	黙っていなさい。
Be quiet.	静かに！
Be quiet.	少し静かにしていなさい。
Be quiet.	静かにしなさい。
Be quiet.	静かにしてなさい。
Be quiet.	お静かに。
Be still.	じっとしてて。
Call Tom.	トムに電話して。
Call Tom.	トムを呼んで。
Cheer up!	元気出して。
Cheer up!	元気を出せよ。
Cheer up!	元気出せよ。
Cheer up!	元気出しなよ。
Cheer up.	元気出して。
Cheer up.	元気出しなよ。
Cool off!	頭を冷やせ。
Don't go.	行くんじゃない。
Don't go.	行かないで。
Find Tom.	トムを探してきて。
Find Tom.	トムを見つけて。
Get away!	向こうへ行け！
Get down!	床に伏せろ！
Get lost!	どっか行け。
Get lost.	出て行け！
Get lost.	どっか行け。
Get real!	冷静に考えて見ろよ！
Go ahead!	どうぞ、お先に！
Go ahead.	どうぞお話し下さい。
Go ahead.	どうぞ、お先に！
Good job!	お疲れ様でした。
Good job!	お疲れさまでした。
Good job!	よくやった！
Grab Tom.	トムを捕まえろ。
Have fun.	楽しんでね。
Have fun.	楽しんできなさい。
He tries.	彼がやってみるんだ。
Help Tom.	トムを助けてやって。
How cute!	なんて可愛いんでしょう。
How cute!	かわいい！
How deep?	どのくらい深い？
Hurry up.	急ぎなさい。
Hurry up.	さあ、急いで。
I did it.	やった。
I did it.	やってやった。
I forgot.	忘れました。
I forgot.	忘れた。
I got it.	了解。
I resign.	辞めます。
I use it.	私がそれを使います。
I yawned.	あくびをした。
